numb,label,tweet
337,0,Just #snorted #laughing @CommunityTV #outtakes @donaldglover @dannypudi #hilarious Best duo ever! @community
338,1,Itβ€™s hard to be in a positive mood when Iβ€™m so uncomfortable with my skin. I havenβ€™t been outside in a week. 
339,0,@m00nlightjules happy birthday mamon!!! 😄
340,0,psa: if you read while you're laying out you sort of forget about the boiling sun and the sweat poring down your face 🙌
341,1,Laying in bed at 1 pm. Yesterday's therapy session hit me harder than I thought it would. 
342,1,"I get too attached. I trust without hesitation. It always blows up in my face and each time it takes a piece of me, making me care less and less about life."
343,0,In our daily liveswe must see that it is not happiness that makes us grateful but being grateful that makes us happy.
344,0,This time last year me and Ronan were in Prague ???«???« 
345,0,yesterday was amazing. thank u #mtv cant wait for the #interview the #irony is 7.10 was also supposed to be my 7 yr anv. plus6yr. 
346,1,GONNA DRINK A BUNCH OF WHISKEY TONIGHT BECAUSE I HAVE  AND THE HOLIDAYS GOT ME  JK BUT I AM GONNA DRINK WHISKEY
347,1,Fed up now ???” why can't anything be simple an straightforward not in my life 
348,0,So upset about not being able to pay for tickets myself :( really want to see the lion king again!!!!! 
349,0,"@VanBluesat @infrared_rock Among them, is Hawrelak Park and the stage they have there. A great venue. #livemusic #blues"
350,1,"I really lost interest in a lot of things since I lost my mom. Baking, cooking, and other stuff I loved doing before. I hope I'll find a way to regain the passion left behind."
351,1,No I'm not  for my life.
352,0,"I reaaaallly don't want to go to work tomorrow,  five days off isn't enough, but come Wednesday four more. Can't wait. Love it!"
353,1,"Depressed and lonely /: Stuck in a deep, never ending hole :(  "
354,1,"God, people victimize me and put me down. Like what did I do to you? Are u jealous or? My whole life man like why fkin me "
355,1,"Another year almost done.
Another year of failure.
Another year closer to death.
  "
356,1,"- From December 26, 2012 - January 12, 2013 Was The Worst 18 Day's Of My Fucking Life ???¢   "
357,1,"  ""And I can't take all the pressure sober"" sigh... pic.twitter.com/lG2ldOYUHm"
358,1,"I was not, am nott and will not be enough "
359,0,I think I have post gay weekend blues... so I bought a dildo 👍🏻
360,1,I spent hundreds of dollars on makeup online to cover my ugly face ;-;   
361,0,So the  s are over...first time I had to celebrate it by own..
362,1,"Suddenly again, 

I have learned the best way to filter out my 

with each syllabus dripped with agony
I silence their pleas of wanting to be heard,

still struggling to sweep away  

while it piles up like a mountain of dead leaves.

"
363,0,A UK loss to Louisville makes my heart hurt.  
364,0,Ready to start my day after practising my daily #meditation.Today's focus was on #gratitude and there are so many things to be #grateful for
365,0,I really just can't live life accepting the fact that Chris Pratt is married to someone else 
